expression	rel	p-value (log[10])
ברירה משפט	attr	3.98335119669314
נאשם משפט	attr	3.98335119669314
מדינה יהודי	attr	3.96856882717221
שבוע יום	attr	3.96691197706948
כוח מעמד	attr	3.94785823391762
גוף מטה	attr	3.93441502675545
מסע הסברה	attr	3.93441502675327
בת ערובה	attr	3.92613793664891
עורך כתב	attr	3.92613793664891
"מפכ""ל משטרה"	attr	3.91692718110326
"מנכ""ל התאחדות"	attr	3.91625000967087
עניין תשלום	attr	3.90162298938182
פקיד גבייה	attr	3.89633110086924
יחידה דיור	attr	3.89633110086518
משק גז	attr	3.89582415446756
משחק גביע	attr	3.89250904207173
חברה תיירות	attr	3.88960506525043
מושל מדינה	attr	3.87481954223997
משרד קליטה	attr	3.86924060424345
מאמן קבוצה	attr	3.86426388393021
מנהיג ליכוד	attr	3.86426388393021
מצב חירום	attr	3.86101982557983
מנהל חנות	attr	3.84049065178532
מנהל שיווק	attr	3.84049065178532
שר פנים	attr	3.83843912595052
ענף ביטוח	attr	3.8152456256407
גביע התאחדות	attr	3.81010208001793
סיוע קיבוץ	attr	3.80961115073838
יישום תוכנית	attr	3.78858354367402
פקיד ממשלה	attr	3.78135406652009
"מ""ם ראש"	attr	3.77414841216331
פיטורין עובד	attr	3.77414841216331
מאזן כוח	attr	3.77092634926262
בעל ותק	attr	3.77018308506078
בעל חשיבות	attr	3.77018308506078
בעל טור	attr	3.77018308506078
בעל מדליה	attr	3.77018308506078
בעל מודעות	attr	3.77018308506078
בעל מוניטין	attr	3.77018308506078
ניהול עסק	attr	3.76786229631765
ניהול שירות	attr	3.76786229631765
מועד עלייה	attr	3.75627725255854
חסות קרן	attr	3.75397806469156
מרפסת בית	attr	3.74359085776808
רב בית	attr	3.74359085776808
חנות עץ	attr	3.74301639536267
חיים קיבוץ	attr	3.73086012031614
תלמיד בית	attr	3.72330488605952
"יו""ר הנהלה"	attr	3.71232210842259
לקוח בנק	attr	3.68744361330088
ניהול מערכת	attr	3.68122052267232
אספקה חשמל	attr	3.67937159038983
סוף חודש	attr	3.66777802002136
אורח חיים	attr	3.66755462038164
"חוק מד""א"	attr	3.66430444873069
הפלה ממשלה	attr	3.65901521613344
מעורבות ממשלה	attr	3.65901521613344
בן מיעוט	attr	3.65901521613301
ארגון טרור	attr	3.65613859228761
בעיה קיום	attr	3.65355254918794
שול חברה	attr	3.6454817294117
תיקון חוק	attr	3.64284861175802
